,sname,dname,cname,enroll12,numtsttakr,avgscrread,avgscreng,avgscrmath,avgscrsci,numge21,pctge21
3,Abraham Lincoln High,San Jose Unified,Santa Clara,463,53,23.0,22.0,22.0,23.0,34.0,64.15
4,Abraham Lincoln Senior High,Los Angeles Unified,Los Angeles,226,19,21.0,20.0,23.0,22.0,11.0,57.89
5,Academia Avance Charter,SBE - Academia Avance Charter,Los Angeles,65,33,15.0,15.0,17.0,16.0,3.0,9.09
6,Academies of Education and Empowerment at Carson High,Los Angeles Unified,Los Angeles,126,16,18.0,18.0,18.0,17.0,5.0,31.25
13,Academy of the Canyons,William S. Hart Union High,Los Angeles,104,36,29.0,29.0,25.0,25.0,34.0,94.44
16,Acalanes High,Acalanes Union High,Contra Costa,353,99,29.0,29.0,28.0,27.0,93.0,93.94
18,ACE Charter High,East Side Union High,Santa Clara,41,34,14.0,14.0,15.0,15.0,1.0,2.94
19,Adelanto High,Victor Valley Union High,San Bernardino,430,28,19.0,17.0,18.0,18.0,8.0,28.57
20,Adolfo Camarillo High,Oxnard Union High,Ventura,507,91,23.0,23.0,23.0,22.0,55.0,60.44
21,Adrian Wilcox High,Santa Clara Unified,Santa Clara,458,138,25.0,24.0,24.0,24.0,93.0,67.39
22,Agoura High,Las Virgenes Unified,Los Angeles,459,140,27.0,26.0,25.0,24.0,114.0,81.43
23,Alain Leroy Locke College Preparatory Academy,Los Angeles Unified,Los Angeles,382,112,14.0,14.0,16.0,15.0,7.0,6.25
25,Alameda High,Alameda Unified,Alameda,463,93,28.0,27.0,27.0,26.0,85.0,91.4
27,Albany High,Albany City Unified,Alameda,296,58,28.0,27.0,27.0,26.0,51.0,87.93
29,Alexander Hamilton Senior High,Los Angeles Unified,Los Angeles,585,139,23.0,23.0,21.0,21.0,75.0,53.96
30,Alhambra High,Alhambra Unified,Los Angeles,648,93,24.0,25.0,24.0,23.0,69.0,74.19
31,Alhambra Senior High,Martinez Unified,Contra Costa,284,40,25.0,23.0,25.0,23.0,30.0,75.0
32,Alisal High,Salinas Union High,Monterey,651,206,18.0,17.0,18.0,18.0,47.0,22.82
33,Aliso Niguel High,Capistrano Unified,Orange,749,286,26.0,27.0,27.0,26.0,254.0,88.81
34,Alliance Alice M. Baxter College-Ready High,Los Angeles Unified,Los Angeles,61,77,17.0,16.0,17.0,18.0,12.0,15.58
35,Alliance Cindy and Bill Simon Technology Academy High,Los Angeles Unified,Los Angeles,123,155,15.0,14.0,16.0,16.0,13.0,8.39
36,Alliance Collins Family College-Ready High,Los Angeles Unified,Los Angeles,141,70,18.0,20.0,19.0,18.0,19.0,27.14
37,Alliance Dr. Olga Mohan High,Los Angeles Unified,Los Angeles,101,80,16.0,16.0,18.0,17.0,14.0,17.5
39,Alliance Judy Ivie Burton Technology Academy High,Los Angeles Unified,Los Angeles,138,162,16.0,16.0,17.0,17.0,24.0,14.81
40,Alliance Leichtman-Levine Family Foundation Environmental Science High,Los Angeles Unified,Los Angeles,128,155,18.0,18.0,18.0,18.0,40.0,25.81
41,Alliance Marc & Eva Stern Math and Science,Los Angeles Unified,Los Angeles,141,157,19.0,18.0,19.0,19.0,48.0,30.57
42,Alliance Margaret M. Bloomfield Technology Academy High,Los Angeles Unified,Los Angeles,114,139,17.0,16.0,16.0,16.0,19.0,13.67
43,Alliance Morgan McKinzie High,Los Angeles Unified,Los Angeles,73,86,15.0,13.0,16.0,16.0,7.0,8.14
44,Alliance Ouchi-O'Donovan 6-12 Complex,Los Angeles Unified,Los Angeles,130,148,15.0,14.0,16.0,16.0,16.0,10.81
45,Alliance Patti And Peter Neuwirth Leadership Academy,Los Angeles Unified,Los Angeles,131,164,16.0,14.0,17.0,16.0,18.0,10.98
46,Alliance Piera Barbaglia Shaheen Health Services Academy,Los Angeles Unified,Los Angeles,105,143,15.0,13.0,15.0,15.0,4.0,2.8
47,Alliance Renee and Meyer Luskin Academy High,Los Angeles Unified,Los Angeles,131,147,16.0,14.0,16.0,16.0,12.0,8.16
49,Alliance Ted K. Tajima High,Los Angeles Unified,Los Angeles,59,110,17.0,16.0,18.0,17.0,24.0,21.82
50,Alliance Tennenbaum Family Technology High,Los Angeles Unified,Los Angeles,89,89,15.0,14.0,16.0,16.0,10.0,11.24
53,Alta Loma High,Chaffey Joint Union High,San Bernardino,634,56,23.0,22.0,22.0,22.0,34.0,60.71
57,Amador High,Amador County Unified,Amador,154,17,25.0,25.0,25.0,24.0,16.0,94.12
58,Amador Valley High,Pleasanton Unified,Alameda,654,280,29.0,29.0,28.0,28.0,258.0,92.14
61,American Canyon High,Napa Valley Unified,Napa,412,41,23.0,23.0,24.0,24.0,31.0,75.61
62,American High,Fremont Unified,Alameda,538,136,29.0,30.0,30.0,29.0,126.0,92.65
64,Anaheim High,Anaheim Union High,Orange,722,66,19.0,18.0,19.0,19.0,23.0,34.85
66,Analy High,West Sonoma County Union High,Sonoma,262,33,27.0,27.0,25.0,24.0,27.0,81.82
70,Anderson W. Clark Magnet High,Glendale Unified,Los Angeles,224,21,26.0,27.0,26.0,25.0,18.0,85.71
71,Andrew P. Hill High,East Side Union High,Santa Clara,450,26,23.0,22.0,23.0,23.0,17.0,65.38
72,Angelo Rodriguez High,Fairfield-Suisun Unified,Solano,423,52,25.0,24.0,23.0,24.0,37.0,71.15
73,Animo College Preparatory Academy,Los Angeles Unified,Los Angeles,128,35,16.0,17.0,17.0,18.0,6.0,17.14
74,Animo Inglewood Charter High,Inglewood Unified,Los Angeles,145,99,18.0,17.0,18.0,18.0,22.0,22.22
75,Animo Jackie Robinson High,Los Angeles Unified,Los Angeles,148,58,17.0,15.0,18.0,17.0,10.0,17.24
76,Animo Leadership High,Lennox,Los Angeles,153,127,16.0,15.0,17.0,17.0,13.0,10.24
77,Animo Pat Brown,Los Angeles Unified,Los Angeles,131,120,15.0,15.0,17.0,16.0,15.0,12.5
80,Animo Venice Charter High,Los Angeles Unified,Los Angeles,132,86,17.0,16.0,17.0,17.0,18.0,20.93
81,Animo Watts College Preparatory Academy,Los Angeles Unified,Los Angeles,128,21,19.0,18.0,18.0,17.0,8.0,38.1
82,Ann Sobrato High,Morgan Hill Unified,Santa Clara,292,83,25.0,24.0,25.0,24.0,69.0,83.13
83,Antelope High,Roseville Joint Union High,Placer,442,92,23.0,22.0,22.0,22.0,61.0,66.3
84,Antelope Valley High,Antelope Valley Union High,Los Angeles,454,18,21.0,18.0,17.0,19.0,4.0,22.22
86,Antioch High,Antioch Unified,Contra Costa,456,50,20.0,18.0,18.0,19.0,15.0,30.0
88,APEX Academy,Los Angeles Unified,Los Angeles,82,30,15.0,13.0,15.0,15.0,0.0,0.0
89,Apple Valley High,Apple Valley Unified,San Bernardino,551,55,22.0,22.0,20.0,21.0,30.0,54.55
90,Applied Technology Center,Montebello Unified,Los Angeles,123,26,20.0,18.0,16.0,18.0,6.0,23.08
91,Aptos High,Pajaro Valley Unified,Santa Cruz,335,65,26.0,25.0,24.0,24.0,53.0,81.54
92,Aragon High,San Mateo Union High,San Mateo,385,93,28.0,28.0,28.0,26.0,83.0,89.25
93,Arcadia High,Arcadia Unified,Los Angeles,829,192,28.0,29.0,28.0,27.0,175.0,91.15
94,Arcata High,Northern Humboldt Union High,Humboldt,210,40,28.0,26.0,25.0,25.0,36.0,90.0
96,Argonaut High,Amador County Unified,Amador,96,20,23.0,21.0,21.0,21.0,13.0,65.0
100,Arlington High,Riverside Unified,Riverside,434,123,18.0,18.0,19.0,18.0,40.0,32.52
101,Armijo High,Fairfield-Suisun Unified,Solano,500,26,23.0,24.0,23.0,23.0,18.0,69.23
102,Arnold O. Beckman High,Tustin Unified,Orange,760,225,28.0,29.0,28.0,27.0,206.0,91.56
103,Arroyo Grande High,Lucia Mar Unified,San Luis Obispo,503,158,23.0,22.0,22.0,22.0,97.0,61.39
104,Arroyo High,El Monte Union High,Los Angeles,544,29,22.0,21.0,23.0,22.0,18.0,62.07
105,Arroyo High,San Lorenzo Unified,Alameda,473,32,21.0,22.0,23.0,22.0,18.0,56.25
106,Arroyo Valley High,San Bernardino City Unified,San Bernardino,565,51,19.0,17.0,18.0,18.0,14.0,27.45
107,Artesia High,ABC Unified,Los Angeles,344,27,19.0,18.0,20.0,19.0,10.0,37.04
109,Arvin High,Kern High,Kern,616,71,19.0,18.0,18.0,19.0,22.0,30.99
110,Asawa (Ruth) SF Sch of the Arts A Public School,San Francisco Unified,San Francisco,175,39,29.0,28.0,24.0,25.0,32.0,82.05
111,Aspire Alexander Twilight Secondary Academy,San Juan Unified,Sacramento,36,44,16.0,14.0,17.0,16.0,7.0,15.91
112,Aspire Benjamin Holt College Preparatory Academy,Lodi Unified,San Joaquin,94,98,21.0,20.0,20.0,20.0,51.0,52.04
113,Aspire East Palo Alto Charter,Ravenswood City Elementary,San Mateo,20,31,16.0,14.0,18.0,15.0,3.0,9.68
114,Aspire Golden State College Preparatory Academy,Oakland Unified,Alameda,65,151,18.0,17.0,17.0,17.0,31.0,20.53
115,Aspire Langston Hughes Academy,Stockton Unified,San Joaquin,83,94,17.0,16.0,17.0,17.0,17.0,18.09
116,Aspire Lionel Wilson College Preparatory Academy,Oakland Unified,Alameda,53,48,15.0,14.0,17.0,15.0,5.0,10.42
117,Aspire Ollin University Preparatory Academy,Los Angeles County Office of Education,Los Angeles,118,133,16.0,16.0,17.0,17.0,15.0,11.28
118,Aspire Pacific Academy,Los Angeles Unified,Los Angeles,97,99,15.0,14.0,16.0,16.0,7.0,7.07
119,Aspire Richmond Ca. College Preparatory Academy,West Contra Costa Unified,Contra Costa,50,59,17.0,16.0,16.0,17.0,6.0,10.17
120,Aspire Vanguard College Preparatory Academy,Modesto City High,Stanislaus,18,23,18.0,18.0,18.0,18.0,8.0,34.78
123,Atascadero High,Atascadero Unified,San Luis Obispo,278,34,26.0,25.0,25.0,25.0,26.0,76.47
124,Atwater High,Merced Union High,Merced,474,71,19.0,17.0,17.0,19.0,16.0,22.54
128,Augustus F. Hawkins High A Critical Design and Gaming,Los Angeles Unified,Los Angeles,121,26,16.0,15.0,17.0,16.0,2.0,7.69
129,Augustus F. Hawkins High B Community Health Advocates,Los Angeles Unified,Los Angeles,93,25,15.0,13.0,15.0,15.0,0.0,0.0
132,Avenal High,Reef-Sunset Unified,Kings,149,112,16.0,14.0,15.0,16.0,4.0,3.57
134,Azusa High,Azusa Unified,Los Angeles,291,25,17.0,16.0,18.0,19.0,4.0,16.0
136,Bakersfield High,Kern High,Kern,693,47,24.0,21.0,23.0,22.0,32.0,68.09
137,Balboa High,San Francisco Unified,San Francisco,306,42,20.0,19.0,21.0,20.0,18.0,42.86
138,Baldwin Park High,Baldwin Park Unified,Los Angeles,438,114,21.0,19.0,20.0,20.0,54.0,47.37
139,Banning High,Banning Unified,Riverside,218,51,18.0,17.0,18.0,18.0,13.0,25.49
141,Barstow High,Barstow Unified,San Bernardino,319,26,18.0,17.0,19.0,19.0,8.0,30.77
142,Bassett Senior High,Bassett Unified,Los Angeles,254,21,23.0,22.0,22.0,22.0,12.0,57.14
146,Bear Creek High,Lodi Unified,San Joaquin,450,50,20.0,20.0,22.0,22.0,23.0,46.0
147,Bear River High,Nevada Joint Union High,Nevada,128,22,23.0,22.0,23.0,22.0,15.0,68.18
148,Beaumont Senior High,Beaumont Unified,Riverside,652,48,22.0,20.0,20.0,21.0,23.0,47.92
149,Bell Gardens High,Montebello Unified,Los Angeles,653,175,18.0,17.0,17.0,19.0,40.0,22.86
150,Bell Senior High,Los Angeles Unified,Los Angeles,575,178,18.0,17.0,18.0,18.0,44.0,24.72
151,Bella Vista High,San Juan Unified,Sacramento,458,74,26.0,25.0,26.0,25.0,63.0,85.14
153,Belmont Senior High,Los Angeles Unified,Los Angeles,206,31,17.0,15.0,17.0,16.0,4.0,12.9
154,Benicia High,Benicia Unified,Solano,363,67,27.0,26.0,25.0,25.0,56.0,83.58
155,Benjamin Franklin Senior High,Los Angeles Unified,Los Angeles,277,108,18.0,17.0,19.0,18.0,26.0,24.07
156,Berkeley High,Berkeley Unified,Alameda,715,222,26.0,26.0,25.0,25.0,165.0,74.32
158,Beverly Hills High,Beverly Hills Unified,Los Angeles,404,91,28.0,29.0,27.0,26.0,78.0,85.71
163,Birmingham Community Charter High,Los Angeles Unified,Los Angeles,798,37,20.0,19.0,20.0,19.0,16.0,43.24
164,Bishop Union High,Bishop Unified,Inyo,133,27,23.0,22.0,22.0,22.0,19.0,70.37
166,Blair High,Pasadena Unified,Los Angeles,156,37,23.0,22.0,22.0,22.0,20.0,54.05
167,Bloomington High,Colton Joint Unified,San Bernardino,481,17,21.0,21.0,20.0,21.0,11.0,64.71
168,Bolsa Grande High,Garden Grove Unified,Orange,477,99,21.0,21.0,21.0,20.0,47.0,47.47
169,Bonita High,Bonita Unified,Los Angeles,471,115,23.0,22.0,22.0,22.0,70.0,60.87
170,Bonita Vista Senior High,Sweetwater Union High,San Diego,659,72,24.0,24.0,24.0,24.0,51.0,70.83
176,Branham High,Campbell Union High,Santa Clara,416,67,28.0,28.0,27.0,26.0,64.0,95.52
177,Brawley Union High,Brawley Union High,Imperial,373,115,19.0,18.0,18.0,18.0,34.0,29.57
178,Brea-Olinda High,Brea-Olinda Unified,Orange,476,121,26.0,26.0,26.0,26.0,109.0,90.08
180,Bright Star Secondary Charter Academy,Los Angeles Unified,Los Angeles,117,45,18.0,17.0,17.0,19.0,11.0,24.44
182,Buchanan High,Clovis Unified,Fresno,667,125,26.0,24.0,24.0,25.0,100.0,80.0
183,Buena High,Ventura Unified,Ventura,412,55,23.0,22.0,22.0,22.0,32.0,58.18
184,Buena Park High,Fullerton Joint Union High,Orange,479,35,22.0,20.0,21.0,22.0,18.0,51.43
185,Buhach Colony High,Merced Union High,Merced,412,64,21.0,19.0,19.0,20.0,21.0,32.81
